year,County_Name,80%_AMI,120%_AMI
2010,Alameda County,72240.0,108360.0
2010,Butte County,43040.0,64560.0
2010,Contra Costa County,72240.0,108360.0
2010,El Dorado County,58480.0,87720.0
2010,Fresno County,41760.0,62640.0
2010,Humboldt County,42560.0,63840.0
2010,Imperial County,36160.0,54240.0
2010,Kern County,41520.0,62280.0
2010,Kings County,42320.0,63480.0
2010,Los Angeles County,50400.0,75600.0
2010,Marin County,79520.0,119280.0
2010,Merced County,39760.0,59640.0
2010,Monterey County,52880.0,79320.0
2010,Multiple County,45680.0,68520.0
2010,Napa County,65440.0,98160.0
2010,Orange County,69760.0,104640.0
2010,Placer County,58480.0,87720.0
2010,Riverside County,52000.0,78000.0
2010,Sacramento County,58480.0,87720.0
2010,San Bernardino County,52000.0,78000.0
2010,San Diego County,60400.0,90600.0
2010,San Francisco County,79520.0,119280.0
2010,San Joaquin County,50480.0,75720.0
2010,San Luis Obispo County,58000.0,87000.0
2010,San Mateo County,79520.0,119280.0
2010,Santa Barbara County,57120.0,85680.0
2010,Santa Clara County,82800.0,124200.0
2010,Santa Cruz County,67360.0,101040.0
2010,Solano County,63360.0,95040.0
2010,Sonoma County,64320.0,96480.0
2010,Stanislaus County,47600.0,71400.0
2010,Tulare County,38560.0,57840.0
2010,Ventura County,69360.0,104040.0
2010,Yolo County,58000.0,87000.0
2011,Alameda County,73840.0,110760.0
2011,Butte County,46320.0,69480.0
2011,Contra Costa County,73840.0,110760.0
2011,El Dorado County,60080.0,90120.0
2011,Fresno County,43760.0,65640.0
2011,Humboldt County,43920.0,65880.0
2011,Imperial County,35520.0,53280.0
2011,Kern County,42640.0,63960.0
2011,Kings County,42880.0,64320.0
2011,Los Angeles County,51200.0,76800.0
2011,Marin County,81280.0,121920.0
2011,Merced County,40400.0,60600.0
2011,Monterey County,54240.0,81360.0
2011,Multiple County,46880.0,70320.0
2011,Napa County,68000.0,102000.0
2011,Orange County,67360.0,101040.0
2011,Placer County,60080.0,90120.0
2011,Riverside County,50000.0,75000.0
2011,Sacramento County,60080.0,90120.0
2011,San Bernardino County,50000.0,75000.0
2011,San Diego County,59920.0,89880.0
2011,San Francisco County,81280.0,121920.0
2011,San Joaquin County,52320.0,78480.0
2011,San Luis Obispo County,59520.0,89280.0
2011,San Mateo County,81280.0,121920.0
2011,Santa Barbara County,57840.0,86760.0
2011,Santa Clara County,82880.0,124320.0
2011,Santa Cruz County,68640.0,102960.0
2011,Solano County,65200.0,97800.0
2011,Sonoma County,65200.0,97800.0
2011,Stanislaus County,48880.0,73320.0
2011,Tulare County,39040.0,58560.0
2011,Ventura County,70480.0,105720.0
2011,Yolo County,60640.0,90960.0
2012,Alameda County,74800.0,112200.0
2012,Butte County,46960.0,70440.0
2012,Contra Costa County,74800.0,112200.0
2012,El Dorado County,60880.0,91320.0
2012,Fresno County,44400.0,66600.0
2012,Humboldt County,44480.0,66720.0
2012,Imperial County,36000.0,54000.0
2012,Kern County,43280.0,64920.0
2012,Kings County,43440.0,65160.0
2012,Los Angeles County,51840.0,77760.0
2012,Madera County,43680.0,65520.0
2012,Marin County,82400.0,123600.0
2012,Merced County,40960.0,61440.0
2012,Monterey County,54960.0,82440.0
2012,Multiple County,47520.0,71280.0
2012,Napa County,68880.0,103320.0
2012,Orange County,68240.0,102360.0
2012,Placer County,60880.0,91320.0
2012,Riverside County,50640.0,75960.0
2012,Sacramento County,60880.0,91320.0
2012,San Bernardino County,50640.0,75960.0
2012,San Diego County,60720.0,91080.0
2012,San Francisco County,82400.0,123600.0
2012,San Joaquin County,53040.0,79560.0
2012,San Luis Obispo County,60320.0,90480.0
2012,San Mateo County,82400.0,123600.0
2012,Santa Barbara County,58640.0,87960.0
2012,Santa Clara County,84000.0,126000.0
2012,Santa Cruz County,69600.0,104400.0
2012,Shasta County,47200.0,70800.0
2012,Solano County,66080.0,99120.0
2012,Sonoma County,66080.0,99120.0
2012,Stanislaus County,49600.0,74400.0
2012,Tulare County,39600.0,59400.0
